date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:02	645604/645604	---M--	200	added ('OK')	application/font-woff	etag:%2261ebb2f2-9d9e4%22	https://demo.themefisher.com/promodise/plugins/icofont/fonts/icofont.woff	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/icofont/fonts/icofont.woff	(from https://demo.themefisher.com/promodise/plugins/icofont/icofont.css)
14:49:02	469331/469331	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-72953%22	https://demo.themefisher.com/promodise/images/banner/bg-2.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/banner/bg-2.jpg	(from https://demo.themefisher.com/promodise/css/style.css)
14:49:02	50571/50571	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-c58b%22	https://demo.themefisher.com/promodise/images/banner/slider-3.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/banner/slider-3.jpg	(from https://demo.themefisher.com/promodise/css/style.css)
14:49:02	74132/74132	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-12194%22	https://demo.themefisher.com/promodise/images/banner/banner-bg.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/banner/banner-bg.jpg	(from https://demo.themefisher.com/promodise/css/style.css)
14:49:03	169910/169910	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-297b6%22	https://demo.themefisher.com/promodise/images/banner/1.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/banner/1.jpg	(from https://demo.themefisher.com/promodise/css/style.css)
14:49:03	76185/76185	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-12999%22	https://demo.themefisher.com/promodise/images/bg/bg-1.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/bg/bg-1.jpg	(from https://demo.themefisher.com/promodise/css/style.css)
14:49:03	19485/19485	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-4c1d%22	https://demo.themefisher.com/promodise/images/banner/pattern-3.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/banner/pattern-3.png	(from https://demo.themefisher.com/promodise/css/style.css)
14:49:04	207116/207116	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-3290c%22	https://demo.themefisher.com/promodise/images/bg/bg-2.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/bg/bg-2.jpg	(from https://demo.themefisher.com/promodise/css/style.css)
14:49:04	72517/72517	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-11b45%22	https://demo.themefisher.com/promodise/images/about/about-4.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/about/about-4.jpg	(from https://demo.themefisher.com/promodise/about.html)
14:49:05	455689/455689	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-6f409%22	https://demo.themefisher.com/promodise/images/bg/2.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/bg/2.png	(from https://demo.themefisher.com/promodise/css/style.css)
